"","mouse","day","tissue","Percent","cluster"
"1","M12","D6","Brain",0.972926208893,"Cluster_1705"
"2","M12","D6","Brain",0.0871728280411,"Cluster_50"
"3","M12","D6","Brain",0.141566015328,"Cluster_1830"
"4","M12","D6","Brain",98.4210862455,"Cluster_56"
"5","M12","D6","Brain",0.377248702238,"Cluster_662"
"6","M12","D6","Ear",0.019580121318,"Cluster_662"
"7","M12","D6","Ear",1.03083614844,"Cluster_108"
"8","M12","D6","Ear",0.0285476998758,"Cluster_2315"
"9","M12","D6","Ear",0.00877903380112,"Cluster_84"
"10","M12","D6","Ear",0.0155693338009,"Cluster_221"
"11","M12","D6","Ear",0.0157530544878,"Cluster_978"
"12","M12","D6","Ear",0.0494706795909,"Cluster_254"
"13","M12","D6","Ear",0.00430076901963,"Cluster_89"
"14","M12","D6","Ear",1.69361577177,"Cluster_1830"
"15","M12","D6","Ear",2.13951339052,"Cluster_129"
"16","M12","D6","Ear",0.0410000665184,"Cluster_609"
"17","M12","D6","Ear",0.0193604285122,"Cluster_1501"
"18","M12","D6","Ear",1.34836199947,"Cluster_504"
"19","M12","D6","Ear",0.0222780754755,"Cluster_826"
"20","M12","D6","Ear",0.0887139766916,"Cluster_647"
"21","M12","D6","Ear",0.00581187374352,"Cluster_1613"
"22","M12","D6","Ear",0.014457799344,"Cluster_1989"
"23","M12","D6","Ear",0.00373172378523,"Cluster_676"
"24","M12","D6","Ear",0.0108925680127,"Cluster_340"
"25","M12","D6","Ear",0.00956242597348,"Cluster_2236"
"26","M12","D6","Ear",0.00579636665659,"Cluster_1132"
"27","M12","D6","Ear",0.0447600049585,"Cluster_50"
"28","M12","D6","Ear",0.047954292161,"Cluster_3263"
"29","M12","D6","Ear",0.00723270560798,"Cluster_2451"
"30","M12","D6","Ear",0.477575017107,"Cluster_303"
"31","M12","D6","Ear",0.185300853426,"Cluster_1831"
"32","M12","D6","Ear",0.0246958270492,"Cluster_1414"
"33","M12","D6","Ear",0.342081274047,"Cluster_1274"
"34","M12","D6","Ear",0.0237118779767,"Cluster_503"
"35","M12","D6","Ear",0.0122782938326,"Cluster_4"
"36","M12","D6","Ear",0.158445333815,"Cluster_469"
"37","M12","D6","Ear",0.0114753779838,"Cluster_541"
"38","M12","D6","Ear",0.0290125589237,"Cluster_525"
"39","M12","D6","Ear",0.0119613504931,"Cluster_272"
"40","M12","D6","Ear",0.0438063130519,"Cluster_26"
"41","M12","D6","Ear",0.00455372142214,"Cluster_1545"
"42","M12","D6","Ear",0.245606212498,"Cluster_532"
"43","M12","D6","Ear",1.06839238562,"Cluster_294"
"44","M12","D6","Ear",0.00413955908889,"Cluster_3229"
"45","M12","D6","Ear",5.34941125965,"Cluster_1231"
"46","M12","D6","Ear",83.8776285762,"Cluster_56"
"47","M12","D6","Ear",0.093907149161,"Cluster_402"
"48","M12","D6","Ear",0.0158317257575,"Cluster_1537"
"49","M12","D6","Ear",0.172455683916,"Cluster_2305"
"50","M12","D6","Ear",0.0154645060002,"Cluster_265"
"51","M12","D6","Ear",0.183016000796,"Cluster_405"
"52","M12","D6","Ear",0.605292047539,"Cluster_409"
"53","M12","D6","Ear",0.0877496943362,"Cluster_514"
"54","M12","D6","Ear",0.280327090747,"Cluster_248"
"55","M12","D6","Gon",93.2370368202,"Cluster_56"
"56","M12","D6","Gon",0.0269375385028,"Cluster_4"
"57","M12","D6","Gon",0.00559728174414,"Cluster_1868"
"58","M12","D6","Gon",0.166436103763,"Cluster_1123"
"59","M12","D6","Gon",0.153780711125,"Cluster_1830"
"60","M12","D6","Gon",0.00384758495121,"Cluster_437"
"61","M12","D6","Gon",6.40636395976,"Cluster_294"
"62","M12","D6","Heart",0.0287561008047,"Cluster_1545"
"63","M12","D6","Heart",99.9712438992,"Cluster_56"
"64","M12","D6","Lung",0.0579362469462,"Cluster_888"
"65","M12","D6","Lung",0.00663836230668,"Cluster_39"
"66","M12","D6","Lung",3.16911106693,"Cluster_294"
"67","M12","D6","Lung",96.5370717534,"Cluster_56"
"68","M12","D6","Lung",0.014759849994,"Cluster_437"
"69","M12","D6","Lung",0.00347308257958,"Cluster_1132"
"70","M12","D6","Lung",0.00325750154739,"Cluster_21"
"71","M12","D6","Lung",0.0110076882699,"Cluster_2236"
"72","M12","D6","Lung",0.04317461105,"Cluster_1274"
"73","M12","D6","Lung",0.00388518100461,"Cluster_1830"
"74","M12","D6","Lung",0.0435362696085,"Cluster_1831"
"75","M12","D6","Lung",0.0969296845812,"Cluster_4"
"76","M12","D6","Lung",0.00921870174976,"Cluster_1868"
"77","M12","D6","Sub",0.0115765123317,"Cluster_856"
"78","M12","D6","Sub",0.00884082571349,"Cluster_503"
"79","M12","D6","Sub",0.046927935672,"Cluster_1830"
"80","M12","D6","Sub",0.0424662171419,"Cluster_294"
"81","M12","D6","Sub",0.0306818790328,"Cluster_156"
"82","M12","D6","Sub",0.00688763838161,"Cluster_315"
"83","M12","D6","Sub",0.132198658172,"Cluster_232"
"84","M12","D6","Sub",99.7037775169,"Cluster_56"
"85","M12","D6","Sub",0.0166428166243,"Cluster_1123"
"86","M12","D6","blood",0.00356451944779,"Cluster_39"
"87","M12","D6","blood",0.00197117556846,"Cluster_823"
"88","M12","D6","blood",99.9113299437,"Cluster_56"
"89","M12","D6","blood",0.0121098425972,"Cluster_1868"
"90","M12","D6","blood",0.00515677280453,"Cluster_1114"
"91","M12","D6","blood",0.0529139420815,"Cluster_4"
"92","M12","D6","blood",0.00262478250246,"Cluster_294"
"93","M12","D6","blood",0.00359953577757,"Cluster_2236"
"94","M12","D6","blood",0.00672948552411,"Cluster_2370"
"95","M27","D6","Brain",97.6106409336,"Cluster_1830"
